scenario_id,train_type,initial_speed,grade,weather,sensor_0_entry,sensor_1_entry,sensor_2_entry,time_0_to_1,time_1_to_2,time_0_to_2,speed_0_to_1,speed_1_to_2,ETA,sensor_0_pos,sensor_1_pos,sensor_2_pos
12,express,124.71467767561876,-1.1402757908675318,rain,8.5,38.0,59.0,29.5,21.0,50.5,131.79661016949154,138.85714285714286,19.94,2700.0,1620.0,810.0
13,freight,63.42433484230488,0.2837012467374591,clear,17.5,80.5,128.0,63.0,47.5,110.5,61.714285714285715,61.389473684210536,47.09,2700.0,1620.0,810.0
14,freight,71.45058669266137,0.8528719319140854,rain,16.0,76.5,127.0,60.5,50.5,111.0,64.26446280991736,57.742574257425744,51.65,2700.0,1620.0,810.0
15,passenger,110.95817687166827,-0.5877015790439422,clear,10.0,44.0,69.0,34.0,25.0,59.0,114.3529411764706,116.64,24.38,2700.0,1620.0,810.0
16,express,105.15673467968097,-0.6941148151937728,clear,10.0,45.0,70.0,35.0,25.0,60.0,111.08571428571429,116.64,24.36,2700.0,1620.0,810.0
17,passenger,83.79011760479229,0.44408961961022664,clear,13.5,61.5,98.0,48.0,36.5,84.5,81.0,79.89041095890411,35.81,2700.0,1620.0,810.0
18,express,122.62460664953647,1.838730770646213,clear,9.0,40.0,63.0,31.0,23.0,54.0,125.41935483870967,126.78260869565219,23.1,2700.0,1620.0,810.0
19,passenger,76.38407865431085,-1.8862349346286735,clear,13.5,54.0,79.5,40.5,25.5,66.0,96.0,114.3529411764706,23.58,2700.0,1620.0,810.0
20,freight,77.4421983108122,-0.6034509065161946,rain,14.0,62.5,99.0,48.5,36.5,85.0,80.16494845360825,79.89041095890411,36.23,2700.0,1620.0,810.0
21,express,98.31076698590128,-1.1784736422453417,clear,11.0,47.0,72.0,36.0,25.0,61.0,108.0,116.64,23.56,2700.0,1620.0,810.0
22,passenger,92.5826329614286,1.5033316569536805,clear,12.0,53.0,84.0,41.0,31.0,72.0,94.82926829268293,94.06451612903226,30.84,2700.0,1620.0,810.0
23,express,92.90590091497062,-0.5716901459476391,clear,12.0,52.0,81.0,40.0,29.0,69.0,97.2,100.55172413793103,28.16,2700.0,1620.0,810.0
24,passenger,106.26692812761299,1.1107229753342276,clear,10.5,49.5,78.0,39.0,28.5,67.5,99.6923076923077,102.31578947368422,28.95,2700.0,1620.0,810.0
25,freight,76.7085434603666,-0.46546118264825376,clear,14.0,62.5,99.0,48.5,36.5,85.0,80.16494845360825,79.89041095890411,36.23,2700.0,1620.0,810.0
26,express,102.22713809895096,-0.4141969401186003,clear,10.5,47.5,74.5,37.0,27.0,64.0,105.08108108108108,108.0,26.37,2700.0,1620.0,810.0
27,freight,63.48365823918651,0.6284996547842554,clear,17.5,82.0,130.5,64.5,48.5,113.0,60.27906976744187,60.12371134020619,48.86,2700.0,1620.0,810.0
28,passenger,72.75649811262201,1.0207523723865028,rain,15.0,67.5,106.5,52.5,39.0,91.5,74.05714285714286,74.76923076923077,39.38,2700.0,1620.0,810.0
29,express,119.86308892457394,-1.8160813354793195,clear,9.0,38.5,58.5,29.5,20.0,49.5,131.79661016949154,145.8,18.9,2700.0,1620.0,810.0
30,express,111.59456618884134,-0.5123016941053482,clear,10.0,44.0,69.0,34.0,25.0,59.0,114.3529411764706,116.64,24.51,2700.0,1620.0,810.0
31,freight,64.88903640143732,0.2609684531807197,clear,17.0,81.0,128.5,64.0,47.5,111.5,60.75,61.389473684210536,47.44,2700.0,1620.0,810.0
32,passenger,118.77830128840586,0.25885622781067763,clear,9.5,43.0,68.0,33.5,25.0,58.5,116.0597014925373,116.64,24.64,2700.0,1620.0,810.0
33,freight,58.35847131070847,-1.4450417400779618,clear,17.5,69.0,105.5,51.5,36.5,88.0,75.49514563106797,79.89041095890411,36.04,2700.0,1620.0,810.0
34,express,118.82023919809491,1.0503063733029583,clear,9.5,42.0,66.5,32.5,24.5,57.0,119.63076923076925,119.02040816326532,23.98,2700.0,1620.0,810.0
35,express,91.94121795393394,0.8673879722279425,clear,11.5,52.5,82.5,41.0,30.0,71.0,94.82926829268293,97.2,30.49,2700.0,1620.0,810.0
36,express,139.90314069705425,-1.7200834676387324,clear,8.0,34.0,52.0,26.0,18.0,44.0,149.53846153846155,162.0,18.03,2700.0,1620.0,810.0
37,freight,57.44472870487677,1.0674606601748455,rain,19.5,98.0,165.5,78.5,67.5,146.0,49.52866242038217,43.2,70.74,2700.0,1620.0,810.0
38,passenger,115.08108844235824,1.3323053981382995,rain,9.5,44.0,70.0,34.5,26.0,60.5,112.69565217391305,112.15384615384616,25.27,2700.0,1620.0,810.0
39,express,95.69671185352033,1.2552286325883752,clear,11.5,51.0,80.5,39.5,29.5,69.0,98.43037974683544,98.84745762711866,29.37,2700.0,1620.0,810.0
40,freight,78.78744585796349,-0.4579001490426262,clear,14.0,62.5,99.0,48.5,36.5,85.0,80.16494845360825,79.89041095890411,36.08,2700.0,1620.0,810.0
41,passenger,100.61099139231192,-1.1173138877700777,clear,11.0,46.5,71.0,35.5,24.5,60.0,109.52112676056338,119.02040816326532,23.86,2700.0,1620.0,810.0
42,express,109.84996100253811,-1.4770883472764438,clear,10.0,42.0,64.0,32.0,22.0,54.0,121.5,132.54545454545456,21.11,2700.0,1620.0,810.0
43,express,92.27721613480684,0.4409184544733562,clear,11.5,52.5,83.5,41.0,31.0,72.0,94.82926829268293,94.06451612903226,30.45,2700.0,1620.0,810.0
44,passenger,86.70057036474316,-0.3097125127720388,clear,12.5,57.0,89.5,44.5,32.5,77.0,87.37078651685393,89.72307692307693,32.54,2700.0,1620.0,810.0
45,freight,77.43402741615273,0.11017783131766379,clear,14.5,66.0,104.5,51.5,38.5,90.0,75.49514563106797,75.74025974025973,38.77,2700.0,1620.0,810.0
46,express,91.81887985929467,-1.304924600319263,fog,11.5,48.5,73.5,37.0,25.0,62.0,105.08108108108108,116.64,24.01,2700.0,1620.0,810.0
47,passenger,110.2089630760379,0.19008237929703586,fog,10.0,47.0,74.5,37.0,27.5,64.5,105.08108108108108,106.03636363636363,27.67,2700.0,1620.0,810.0
48,passenger,112.26242029629756,0.9192192283365057,clear,10.0,46.5,74.0,36.5,27.5,64.0,106.52054794520548,106.03636363636363,27.11,2700.0,1620.0,810.0
49,express,122.7697049829575,-0.5704830792522353,clear,9.0,40.0,63.0,31.0,23.0,54.0,125.41935483870967,126.78260869565219,22.1,2700.0,1620.0,810.0
50,passenger,74.25975479256257,1.089624313896881,rain,14.5,64.5,102.0,50.0,37.5,87.5,77.76,77.76,37.65,2700.0,1620.0,810.0
51,freight,60.029747735429595,0.7314507959951664,clear,19.0,91.5,146.5,72.5,55.0,127.5,53.62758620689655,53.018181818181816,55.17,2700.0,1620.0,810.0
52,express,117.03369005727183,1.0232348844056154,clear,9.5,42.5,67.5,33.0,25.0,58.0,117.81818181818181,116.64,24.61,2700.0,1620.0,810.0
53,passenger,101.95756654611706,-1.0311866410999664,rain,10.5,45.0,69.5,34.5,24.5,59.0,112.69565217391305,119.02040816326532,23.21,2700.0,1620.0,810.0
54,express,116.37469765380203,1.5466282668958464,rain,10.0,44.5,71.0,34.5,26.5,61.0,112.69565217391305,110.03773584905662,25.7,2700.0,1620.0,810.0
55,passenger,65.77262714314651,0.6683028508181641,fog,17.0,76.5,121.5,59.5,45.0,104.5,65.34453781512605,64.8,44.55,2700.0,1620.0,810.0
56,express,118.09072378491571,1.5409049417614815,clear,9.5,43.5,69.0,34.0,25.5,59.5,114.3529411764706,114.3529411764706,25.2,2700.0,1620.0,810.0
57,passenger,109.22072795027107,0.5540451619517559,clear,10.5,47.0,75.0,36.5,28.0,64.5,106.52054794520548,104.14285714285714,27.49,2700.0,1620.0,810.0
58,express,127.5716436603216,-1.1486239375024052,clear,8.5,37.5,58.0,29.0,20.5,49.5,134.06896551724137,142.2439024390244,19.91,2700.0,1620.0,810.0
59,passenger,93.69804073287526,0.11034264490531953,clear,12.0,54.5,86.5,42.5,32.0,74.5,91.48235294117647,91.125,31.92,2700.0,1620.0,810.0
60,freight,71.99759464841189,1.4032975496099298,rain,16.0,84.5,155.0,68.5,70.5,139.0,56.759124087591246,41.361702127659576,80.08,2700.0,1620.0,810.0
61,freight,77.33663618362442,0.6388190421453972,clear,14.5,68.5,110.5,54.0,42.0,96.0,72.0,69.42857142857143,42.17,2700.0,1620.0,810.0
62,passenger,103.83557363710794,1.1798718289479275,clear,10.5,48.5,77.0,38.0,28.5,66.5,102.31578947368422,102.31578947368422,27.88,2700.0,1620.0,810.0
63,passenger,85.26173530028916,0.6544730337335323,clear,13.0,60.0,95.0,47.0,35.0,82.0,82.72340425531915,83.31428571428572,35.02,2700.0,1620.0,810.0
64,freight,70.35062408871599,1.8016785787227843,clear,16.5,98.0,202.0,81.5,104.0,185.5,47.70552147239264,28.03846153846154,118.05,2700.0,1620.0,810.0
65,passenger,65.29610079618203,-1.8668921785572579,clear,15.5,60.5,87.5,45.0,27.0,72.0,86.4,108.0,24.88,2700.0,1620.0,810.0
66,express,138.16847088350949,1.4036500162742156,clear,8.0,36.0,57.0,28.0,21.0,49.0,138.85714285714286,138.85714285714286,20.85,2700.0,1620.0,810.0
67,express,113.49878707787218,-1.8785922910622612,clear,9.5,40.0,60.5,30.5,20.5,51.0,127.47540983606558,142.2439024390244,19.48,2700.0,1620.0,810.0
68,freight,63.65903569959447,1.4506683352983845,fog,18.0,99.5,184.0,81.5,84.5,166.0,47.70552147239264,34.50887573964497,93.34,2700.0,1620.0,810.0
69,passenger,108.6688146952128,-1.2748927471890648,clear,10.0,43.0,66.0,33.0,23.0,56.0,117.81818181818181,126.78260869565219,21.8,2700.0,1620.0,810.0
70,passenger,72.28920347777085,0.2582663064086037,clear,14.5,66.5,105.5,52.0,39.0,91.0,74.76923076923077,74.76923076923077,38.54,2700.0,1620.0,810.0
71,freight,50.49343019629534,-1.7791812238859128,clear,19.5,72.0,108.5,52.5,36.5,89.0,74.05714285714286,79.89041095890411,36.12,2700.0,1620.0,810.0
72,passenger,98.51287295148461,-0.80294417654921,rain,11.0,47.5,73.5,36.5,26.0,62.5,106.52054794520548,112.15384615384616,25.61,2700.0,1620.0,810.0
73,express,127.33343995522918,1.6340653742880362,rain,8.5,39.5,62.5,31.0,23.0,54.0,125.41935483870967,126.78260869565219,22.45,2700.0,1620.0,810.0
74,freight,53.24220651791246,-1.1024122820905862,rain,19.5,76.5,113.0,57.0,36.5,93.5,68.21052631578947,79.89041095890411,36.22,2700.0,1620.0,810.0
75,passenger,118.2161157509095,-0.34995646790038437,clear,9.5,42.0,66.5,32.5,24.5,57.0,119.63076923076925,119.02040816326532,24.19,2700.0,1620.0,810.0
76,passenger,81.42860203639552,0.3944788127001164,clear,14.0,63.5,101.0,49.5,37.5,87.0,78.54545454545455,77.76,37.35,2700.0,1620.0,810.0
77,freight,64.65859207509287,-0.6825253863575704,clear,16.5,70.5,107.0,54.0,36.5,90.5,72.0,79.89041095890411,36.3,2700.0,1620.0,810.0
78,freight,58.61042017797459,-0.5774641288072027,clear,18.0,75.5,115.0,57.5,39.5,97.0,67.61739130434783,73.82278481012658,37.82,2700.0,1620.0,810.0
79,passenger,96.77484648370381,-1.5108343741221173,clear,11.0,46.5,70.5,35.5,24.0,59.5,109.52112676056338,121.5,22.59,2700.0,1620.0,810.0
80,freight,53.57450030138392,1.4579434918104686,rain,22.0,124.5,221.5,102.5,97.0,199.5,37.931707317073176,30.061855670103096,100.85,2700.0,1620.0,810.0
81,freight,52.56681410639856,-1.0206248531057187,clear,19.5,78.0,114.5,58.5,36.5,95.0,66.46153846153845,79.89041095890411,36.34,2700.0,1620.0,810.0
82,express,94.10975216553379,1.2262257308712443,clear,12.0,53.5,85.0,41.5,31.5,73.0,93.6867469879518,92.57142857142858,31.25,2700.0,1620.0,810.0
83,passenger,114.56127187618347,0.16561983029014238,clear,9.5,43.0,68.0,33.5,25.0,58.5,116.0597014925373,116.64,24.99,2700.0,1620.0,810.0
84,express,105.04402835264214,1.0569759173191309,clear,10.5,47.0,74.5,36.5,27.5,64.0,106.52054794520548,106.03636363636363,27.38,2700.0,1620.0,810.0
85,passenger,78.39820887314777,-1.5686358758400907,clear,13.5,54.5,81.0,41.0,26.5,67.5,94.82926829268293,110.03773584905662,24.69,2700.0,1620.0,810.0
86,passenger,86.78296609284695,1.8822139286383286,fog,12.5,56.5,90.0,44.0,33.5,77.5,88.36363636363637,87.04477611940298,32.6,2700.0,1620.0,810.0
87,passenger,105.77401157760721,1.721087176342679,clear,10.5,47.5,75.5,37.0,28.0,65.0,105.08108108108108,104.14285714285714,27.42,2700.0,1620.0,810.0
88,freight,79.82061560813473,1.2778929467125226,clear,14.5,72.5,127.5,58.0,55.0,113.0,67.03448275862068,53.018181818181816,60.46,2700.0,1620.0,810.0
89,passenger,65.00798468334536,-1.9697104477160856,rain,15.5,60.0,87.0,44.5,27.0,71.5,87.37078651685393,108.0,24.43,2700.0,1620.0,810.0
90,express,103.16974564422127,-0.07599370845214182,rain,10.5,47.5,75.5,37.0,28.0,65.0,105.08108108108108,104.14285714285714,27.52,2700.0,1620.0,810.0
91,express,115.40402073595313,0.6009962196054275,clear,9.5,42.0,67.0,32.5,25.0,57.5,119.63076923076925,116.64,24.09,2700.0,1620.0,810.0
92,express,93.47729534333139,1.5519266976327892,clear,12.0,56.5,89.5,44.5,33.0,77.5,87.37078651685393,88.36363636363637,32.58,2700.0,1620.0,810.0
93,express,117.74726930657796,1.1323442761583191,rain,9.5,44.0,69.5,34.5,25.5,60.0,112.69565217391305,114.3529411764706,25.41,2700.0,1620.0,810.0
94,passenger,86.69755780617412,-0.735178898044786,clear,12.0,52.5,81.5,40.5,29.0,69.5,96.0,100.55172413793103,27.55,2700.0,1620.0,810.0
95,freight,64.29532633073723,-1.623115828171672,clear,16.0,65.0,101.5,49.0,36.5,85.5,79.34693877551021,79.89041095890411,36.33,2700.0,1620.0,810.0
96,passenger,104.55517867285556,-0.5149187847310941,clear,10.5,45.5,71.5,35.0,26.0,61.0,111.08571428571429,112.15384615384616,25.3,2700.0,1620.0,810.0
97,passenger,112.53385168452124,-0.6060874607376538,clear,10.0,43.5,68.0,33.5,24.5,58.0,116.0597014925373,119.02040816326532,23.95,2700.0,1620.0,810.0
98,express,115.51849591306757,-1.4933260868226692,clear,9.5,40.5,61.5,31.0,21.0,52.0,125.41935483870967,138.85714285714286,20.31,2700.0,1620.0,810.0
99,passenger,116.00439839566164,0.05289249735696355,clear,9.5,41.5,66.0,32.0,24.5,56.5,121.5,119.02040816326532,24.08,2700.0,1620.0,810.0
